articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
3-4-2015_PS,18.9,18.6,F,1.5873015873015723,MINOR_ERROR,NA
3-4-2015_PS,94,92,df,2.127659574468085,MINOR_ERROR,NA
3-4-2015_PS,<.001,1.609465865344191e-7,p,NA,MATCH,TRUE
3-4-2015_PS,<.01,0.0020498418565005278,p,NA,MATCH,TRUE
3-4-2015_PS,<.01,8.024910940115899e-6,p,NA,MATCH,TRUE
3-4-2015_PS,<.01,3.0542166475888526e-4,p,NA,MATCH,TRUE
3-4-2015_PS,0.67,0.67,d,0,MATCH,NA
3-4-2015_PS,0.006,0.002,p,66.66666666666666,MAJOR_ERROR,NA
3-4-2015_PS,0.8,0.8,d,0,MATCH,NA
3-4-2015_PS,0.001,0,p,100,MAJOR_ERROR,NA
3-4-2015_PS,6,7,mean,16.666666666666664,MAJOR_ERROR,NA
3-4-2015_PS,2,3,ci,50,MAJOR_ERROR,NA
3-4-2015_PS,11,11,ci,0,MATCH,NA
3-4-2015_PS,7,7,mean,0,MATCH,NA
3-4-2015_PS,3,3,ci,0,MATCH,NA
3-4-2015_PS,11,10,ci,9.090909090909092,MINOR_ERROR,NA
3-4-2015_PS,13,13,mean,0,MATCH,NA
